time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p,X_wind,Y_wind,N_wind,U_W,Ψ_W,X_F,Y_F,N_F
0.0,1.17,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.3490658503988659,18.95,3.374884769693421,2.381952163645756e-15,-3.2999962267175587e-15,7.0,3.141592653589793,0.0,0.0,0.0
0.25,1.17606643734041,-0.0042901568083288716,0.005304974758007744,0.2925,0.0,0.0,3.2925,0.0,-2.7075,3.6739403974420594e-16,0.3490658503988659,18.95,3.3678919495983797,0.012749305421109655,-0.019655552034939013,7.0,3.141592653589793,0.0,0.0,0.0
0.5,1.1821064457911907,-0.009041455161908251,0.01020239186920903,0.5865166093351024,-0.0010725392020822179,0.001326243689501936,3.586513970952003,0.0029061907000438765,-2.413480752281798,-0.005051269104208351,0.3490658503988659,18.95,3.3608758780932404,-0.0007191538389231656,0.001108717679385103,7.0,3.141592653589793,0.0,0.0,0.0
0.75,1.1880918716336706,-0.014206508234705068,0.014746514981147723,0.8820459586710954,-0.002940960816043622,0.0038768416568041933,3.8820234138474845,0.008689535020117257,-2.117931496505294,-0.014571456652204277,0.3490658503988659,18.95,3.354155216812869,-0.03834943495858985,0.05912266880878125,7.0,3.141592653589793,0.0,0.0,0.0
1.0,1.1939956436061583,-0.01974203949205057,0.018983556400540693,1.1790804635306122,-0.005341053053950367,0.0075634704020911235,4.178994654812893,0.01734914181467824,-1.8208337277516689,-0.028031247922579033,0.3490658503988659,18.95,3.3485309019905665,-0.09836785031552227,0.1516439883991069,7.0,3.141592653589793,0.0,0.0,0.0
1.25,1.1997919314551966,-0.02560834414607735,0.022952933350407725,1.4776081657228217,-0.0080187556048954,0.012309359502226298,4.477380888095576,0.028908390349733276,-1.5221645566499329,-0.044945901559523826,0.3490658503988659,18.95,3.3451392869728576,-0.17925106310802166,0.27629333340638224,7.0,3.141592653589793,0.0,0.0,0.0
1.5,1.205456225964058,-0.03176881605882848,0.026688278397818364,1.7776122283531683,-0.01072828231043748,0.01804759283982823,4.777123668203388,0.04341155706558268,-1.2218992114970515,-0.06486812168645673,0.3490658503988659,18.95,3.345324007055516,-0.2797038706057631,0.4309992723495402,7.0,3.141592653589793,0.0,0.0,0.0
1.75,1.2109653713695838,-0.038189528440544365,0.03021826195577085,2.0790705365712063,-0.0132305923729738,0.024719662439282822,5.078153990678139,0.060920842556013016,-0.9200129175357268,-0.08738202730195987,0.3490658503988659,18.95,3.350523694683899,-0.3986438858465363,0.6139512315355963,7.0,3.141592653589793,0.0,0.0,0.0
2.0,1.216297570626154,-0.04483886124236909,0.033567269950459756,2.3819553713298816,-0.01529215595045836,0.032274227928225534,5.380393068265663,0.08151371987556749,-0.6164823256059004,-0.11209803177648323,0.3490658503988659,18.95,3.362172982381201,-0.5351912869632781,0.8235590275416024,7.0,3.141592653589793,0.0,0.0,0.0
2.25,1.2214323770298714,-0.051687170896202055,0.036755968993096,2.686233133970755,-0.016683970971063347,0.04066604541584047,5.683752884928993,0.10528054278297802,-0.3112866169874833,-0.13864848472510383,0.3490658503988659,18.95,3.381614177786975,-0.6886624133654258,1.0584178617249518,7.0,3.141592653589793,0.0,0.0,0.0
2.5,1.2263506809540388,-0.05870649971855118,0.03980178355574887,2.9918641069101373,-0.017180796778115705,0.04985503766411447,5.988136591904604,0.13232236594790178,-0.0044083780843298115,-0.16668395950413287,0.3490658503988659,18.95,3.410017263468426,-0.858566372699782,1.3172778830729177,7.0,3.141592653589793,0.0,0.0,0.0
2.75,1.2310346971027655,-0.06587032328058241,0.04271930388770097,3.298802241049913,-0.016560577143382063,0.05980548355305169,6.293438796158917,0.16274893962825931,0.3041656859409092,-0.19587009391502308,0.3490658503988659,18.95,3.448306253382896,-1.0446040609648322,1.599017607293989,7.0,3.141592653589793,0.0,0.0,0.0
3.0,1.2354679552865582,-0.07315333459239755,0.04552063912237113,3.6069949644156227,-0.014604030587236978,0.07048530952497693,6.599545780966615,0.19667684966460114,0.614444147864631,-0.22588491083907458,0.3490658503988659,18.95,3.497090357708876,-1.2466691416712488,1.9026206238379402,7.0,3.141592653589793,0.0,0.0,0.0
