time,x_F_body_mean,x_F_body_median,y_F_body_mean,y_F_body_median,n_F_body_mean,n_F_body_median,x_F_earth_mean,x_F_earth_median,y_F_earth_mean,y_F_earth_median,n_F_earth_mean,n_F_earth_median
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1.3486606502124963,1.38746373919182,-5.0797793964315545,-5.488472982874065,8.24349502937493,8.496496500773615,1.3486606502124963,1.38746373919182,-5.0797793964315545,-5.488472982874065,8.24349502937493,8.496496500773615
0.5,1.8516702087258006,2.0326768142518987,-6.971374122229438,-7.614825893484513,11.593341285949633,12.391693871276946,1.8580905622857882,2.039528108061554,-6.969665238076507,-7.613614470588789,11.593341285949636,12.391693871276946
0.75,1.474017401419299,1.422297260293341,-9.441006812618719,-10.612269241295994,15.314367217171496,16.308832465377876,1.4990183509825996,1.4507830369494896,-9.437070915867077,-10.610618979781128,15.314367217171494,16.308832465377876
1.0,2.184426442802876,2.3923701371267834,-10.18696200285355,-10.736464008202061,19.38149882515044,19.78491235510309,2.2366074663290316,2.4574879819885487,-10.17563312050007,-10.717278075356244,19.381498825150448,19.78491235510309
1.25,2.283692166560274,2.320042442867847,-12.498874721087596,-12.810460464246502,21.292370628636863,22.404032227480442,2.3872295645751835,2.4291462054437987,-12.479513272583844,-12.831627046149443,21.292370628636867,22.404032227480442
1.5,1.8646726588464073,1.8210534626678587,-13.536167706610634,-14.518482076926679,22.783858313686395,23.448626528878858,2.0281827959076986,1.9991805072786009,-13.512635870297924,-14.516598322457519,22.783858313686395,23.448626528878858
1.75,2.2414235378922065,1.9831651362732128,-13.555356945566295,-14.439432606662773,25.985406244918252,25.49435586683539,2.464479388189156,2.199011767278213,-13.51658428755382,-14.383850306308549,25.98540624491825,25.49435586683539
2.0,2.326244744492332,2.0830111564489378,-14.329100781340864,-15.584024938840098,27.08015545734049,28.308955745029813,2.6325922737179677,2.4499293885749083,-14.275994066248796,-15.524702244351353,27.080155457340478,28.308955745029813
2.25,2.669137743454887,2.791984122454867,-15.660210191378233,-16.340366631036144,25.549430485145418,25.331410122406627,3.0890293422033004,3.2109299756741803,-15.58282240925874,-16.25219195074238,25.549430485145418,25.331410122406627
2.5,2.6913221841058874,2.563374599362278,-16.35051925927913,-16.911776533668878,28.98617491079821,29.97927809812321,3.2265196731683505,3.2050365717462737,-16.253377318559114,-16.84385073075563,28.986174910798198,29.97927809812321
2.75,2.9767675680403176,3.0905659311863145,-16.2722708112805,-17.41115280909661,28.30370540981913,28.265921220635494,3.612913336504402,3.580304633139488,-16.14294874871568,-17.399565851894017,28.303705409819127,28.265921220635494
3.0,2.8054748734300965,2.866157754456004,-16.17042342387513,-16.34609107574078,29.02739592648174,30.366706730119727,3.547853513976424,3.713890741546872,-16.02392005162091,-16.15130357633656,29.027395926481745,30.366706730119727
3.25,3.0081961066515386,3.0693422433885766,-16.89090419658454,-18.013863160273132,28.485518978464185,29.18935629208697,3.9055666376067886,3.9153332719646663,-16.706239696910547,-17.872839159022654,28.485518978464185,29.18935629208697
3.5,3.70171083246116,3.448007005609409,-16.447631516352413,-16.7489992419562,30.89489217284116,31.71237632356798,4.6994410008151215,4.443773951825371,-16.190815436138575,-16.59493529757818,30.89489217284115,31.71237632356798
3.75,3.4428472459067705,3.7966621214875715,-15.177036029192452,-16.59042819760206,31.147057551707224,32.050199786860546,4.484558857949016,4.788257671309655,-14.902494816409371,-16.363396762540795,31.14705755170722,32.050199786860546
4.0,3.6999781087772674,3.6102480881388908,-15.839390823112206,-17.050091678857278,30.7257054356263,30.248058421098857,4.919011789280418,4.911881272306495,-15.504175631667197,-16.70194983583412,30.7257054356263,30.248058421098857
4.25,3.9455378992555485,3.866222196447027,-17.223505229677425,-17.844607469429484,30.358200186608602,30.169093272646727,5.421134868974417,5.455017429790571,-16.817482040957188,-17.378513661793537,30.358200186608595,30.169093272646727
4.5,4.039543686567884,4.086647003684818,-16.21518586493678,-16.67352249871265,30.951611636758134,30.815708615383077,5.573831732219892,5.463410964226976,-15.753811225392855,-16.223530164883528,30.95161163675812,30.815708615383077
4.75,4.419991929666347,4.346917286360257,-17.26575928346923,-18.530793531435933,29.00653684182076,29.23026250919343,6.214465821106341,6.355737784222848,-16.703987043215207,-17.86223581097017,29.006536841820754,29.23026250919343
5.0,4.559873398708627,4.588244543924439,-15.994004836498396,-17.015420745716884,30.856811140946256,30.71167577579017,6.373584719705483,6.595410857787332,-15.36157733640512,-16.3087312885529,30.85681114094626,30.71167577579017
5.25,4.8875556453958895,4.842412633082244,-17.0537977242292,-17.371269338118715,30.61093250893529,30.187635267502184,6.990607287442443,7.103157451886254,-16.304957351469472,-16.76170661086801,30.61093250893529,30.187635267502184
5.5,4.867969110130994,4.897332339702082,-16.310847189611,-16.47689235120212,30.600856974734157,30.253500524179678,7.044325490743454,7.204324077709442,-15.495752182402109,-15.689899675345632,30.600856974734157,30.253500524179678
5.75,5.413497651086515,5.467374091239629,-16.712136926309096,-17.400802648151444,30.815114113167205,30.795114752162803,7.813983751768521,7.9107081547683595,-15.7335034200078,-16.304224704598745,30.8151141131672,30.795114752162803
6.0,5.28697880972089,5.316515649140514,-16.994616613523227,-17.468592837247332,28.41898819043145,28.914268621585485,7.912805073002611,7.889297964654631,-15.942291443826628,-16.355736794693463,28.418988190431463,28.914268621585485
6.25,5.978231144386776,5.892078853281923,-16.80537894704189,-16.791055398060912,29.8272511395101,30.721572951316602,8.748568243859602,8.706185350356794,-15.544213088885757,-15.737646454419536,29.827251139510107,30.721572951316602
6.5,6.059929692996617,5.878285303961405,-16.731102971991085,-16.72011845935689,30.797053214098604,30.438630814568796,9.002594376876882,8.927852712775927,-15.349457432037944,-15.519857099623366,30.797053214098614,30.438630814568796
6.75,5.996041132759689,5.895995808751173,-16.65269751801487,-16.799612278733605,30.79443728100229,30.253836152139346,9.114585423983145,9.051744907909992,-15.17198619901396,-15.26360508619397,30.794437281002303,30.253836152139346
7.0,6.327859880645443,6.442159893895386,-16.796967975779896,-16.89988038746159,29.437917271223654,29.4862730208891,9.661661992573784,9.7643570817723,-15.12720150229579,-15.087000320532304,29.43791727122364,29.4862730208891
7.25,6.643347018320708,6.611917352233959,-17.118982202378675,-17.679789933295716,30.64252678481228,29.63570266729019,10.236953621052612,10.29935511935092,-15.244618325863184,-15.921322132438393,30.64252678481229,29.63570266729019
7.5,6.565535083532064,6.693144191654517,-16.718832212830605,-17.063386355301972,31.133384958190387,32.03190747309773,10.271431284980135,10.168161443300178,-14.735104292073856,-15.068013832602333,31.133384958190376,32.03190747309773
7.75,6.987318599272266,7.040337485476467,-17.782539070393735,-18.098247500622744,30.215929749296592,28.975895979588508,11.142587971237836,11.497935858295348,-15.520439628603844,-15.957480429854343,30.215929749296592,28.975895979588508
8.0,7.27621487076297,7.250774519098894,-17.948975993918275,-17.812409912996753,31.144431379474874,30.57738440729743,11.681136466688146,11.746137058859778,-15.44862753755257,-15.10404792517977,31.144431379474863,30.57738440729743
8.25,7.397277599091738,7.611996565432325,-17.544807406453714,-17.304125420480197,32.38191919144693,31.24897548199653,11.907218793234877,12.13672622504589,-14.857931118272331,-14.715016905702306,32.38191919144694,31.24897548199653
8.5,7.752875383624522,7.571328539731981,-18.721487826564672,-18.63894273462839,30.22942369436562,30.03467598014663,12.801607230472378,12.913279499924355,-15.707324337734292,-15.671224734127748,30.22942369436562,30.03467598014663
8.75,8.047834332230748,8.122286070086272,-18.80069021753405,-18.81743157358278,32.09151630114218,31.366611473993807,13.339548104722974,13.810019815157116,-15.501291724005961,-15.3828660616784,32.09151630114218,31.366611473993807
9.0,8.066887110207382,7.925292263658854,-19.060655338462496,-19.39115516039353,31.945701746493942,31.845666256817815,13.673856815256704,13.797087765315112,-15.537338649596977,-15.748807658844168,31.945701746493956,31.845666256817815
9.25,8.306111003252635,8.237772847840594,-19.88833459584525,-20.628963755140145,30.606661968429822,29.680308774847703,14.412173321676661,14.541910397287925,-16.02581015275163,-16.667458850771897,30.60666196842983,29.680308774847703
9.5,8.65927358985146,8.520425104605215,-20.53498483050823,-20.889169320311098,30.633917723922394,30.641884334312344,15.217780817638992,15.353142568584481,-16.281516209606075,-16.654894272106333,30.633917723922394,30.641884334312344
9.75,8.977815760376643,8.929883230335902,-20.791171690465884,-20.60378879281815,31.42112452715641,31.055127745613852,15.866400535545568,16.02524313689672,-16.159558371439754,-15.895505886128303,31.421124527156422,31.055127745613852
10.0,9.064406737181516,8.989299443291202,-21.040871684963058,-20.989917644906118,31.77405801562847,31.46608180460117,16.3017650609564,16.446950261244638,-16.097646169506223,-16.017777590164314,31.77405801562848,31.46608180460117
10.25,9.369502357509365,9.436062327060492,-22.357745397549934,-22.151774220021416,31.04196993582018,31.058787218528455,17.36160403894082,17.48620504457685,-16.91836465347734,-16.799021264692072,31.041969935820184,31.058787218528455
10.5,9.783010687305403,9.572498644231633,-22.391713059847916,-22.443071836331278,33.31525353597706,32.150614062157416,18.035280627036006,17.988218255426794,-16.487108783133795,-16.776735231922196,33.31525353597706,32.150614062157416
10.75,9.837669460829453,9.819480643003555,-23.297351397245155,-23.41178237643176,32.99893592456334,31.70437925990096,18.745432332205322,18.954357103398934,-16.975131665894054,-16.821418230579958,32.99893592456335,31.70437925990096
11.0,9.94589957275622,9.90962933505428,-24.020550002041112,-24.06712354367604,31.310316330716873,30.602849184936353,19.449888761088925,19.62200749163825,-17.251364321302614,-17.12926479969564,31.310316330716876,30.602849184936353
11.25,10.293602632407424,10.377656851471968,-24.700021293659415,-24.653844759882762,32.400562088543985,31.42314565118808,20.3670980002929,20.485656593268708,-17.355996650830505,-17.419304531645835,32.400562088543985,31.42314565118808
11.5,10.662658232892136,10.725720679995879,-25.013170752039155,-25.21110768459495,32.63752936982777,32.371129479578514,21.14477179142305,21.16344316632238,-17.095309748560922,-17.277261674365224,32.63752936982778,32.371129479578514
11.75,10.661229530598275,10.706557052895203,-25.872708673574543,-26.125363542965275,32.73872799353091,32.180263485123305,21.863784613442657,21.895440160032283,-17.46521683465239,-17.732454300979498,32.7387279935309,32.180263485123305
12.0,10.699773342692499,10.874073550402692,-26.645967339202944,-26.98436873182731,33.52715662356333,33.553069599156906,22.59790442391042,22.85147079483188,-17.715175465175484,-17.599373711583283,33.52715662356332,33.553069599156906
12.25,10.853806450439937,10.964947867125119,-27.395948146717952,-27.272889877222063,32.579448875751766,32.21772432286672,23.43866124273646,23.513893408048006,-17.859794301512242,-17.817066695475273,32.57944887575178,32.21772432286672
12.5,11.19039606044191,11.182218385285566,-28.13673353839955,-28.161850764566,33.27621037395758,33.0691003095896,24.445303625340365,24.421892448848563,-17.869747026926,-18.062991335898467,33.27621037395759,33.0691003095896
12.75,11.577763363456327,11.54415525872843,-28.77972832809785,-29.071631042666255,32.12791458911654,31.941324774652365,25.45233633966931,25.63212850937505,-17.734033541221937,-17.947301826179327,32.12791458911654,31.941324774652365
13.0,11.352295655058057,11.404925645121448,-29.689124615057377,-29.730286692003922,32.24599835942832,32.25976404411868,26.109597482350964,26.41876392409973,-18.127538563075483,-18.092746432332433,32.24599835942832,32.25976404411868
